"Variable","Definition","Values","Protocol"
"hh_hv105_unit","What are the bundles carried on? - Now Enter data from the HV1  NATURAL RESOURCE BASE section for ${C_name}","{1: 'Head', 2: 'Back', 3: 'Bike', 4: 'Other (Specify)'}","Household Survey"
"hh_hv105a","How many hours does ${C_name} spend on each fuelwood collection trip? (From home departure to return) - Now Enter data from the HV1  NATURAL RESOURCE BASE section for ${C_name}",,"Household Survey"
"hh_u1","Is  ${u_name} 0-60 Months old? - The survey now will ask questions on anthropometric measures. Please assemble the equipment, and follow the instruction manual for taking height, weight, and upper arm measurements for each of the household members","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_u2","Weight in KGs of  ${u_name} - The survey now will ask questions on anthropometric measures. Please assemble the equipment, and follow the instruction manual for taking height, weight, and upper arm measurements for each of the household members",,"Household Survey"
"hh_u3","Height in CMs of ${u_name} - The survey now will ask questions on anthropometric measures. Please assemble the equipment, and follow the instruction manual for taking height, weight, and upper arm measurements for each of the household members",,"Household Survey"
"hh_u4","HEIGHT / LENGTH MEASURED WITH CHILD STANDING OR LYING DOWN? - The survey now will ask questions on anthropometric measures. Please assemble the equipment, and follow the instruction manual for taking height, weight, and upper arm measurements for each of the household members","{1: 'Standing', 2: 'Lying Down'}","Household Survey"
"hh_u5","Upper arm circumference of ${u_name} - The survey now will ask questions on anthropometric measures. Please assemble the equipment, and follow the instruction manual for taking height, weight, and upper arm measurements for each of the household members",,"Household Survey"
"hh_u6","Was ${u_name} measured? - The survey now will ask questions on anthropometric measures. Please assemble the equipment, and follow the instruction manual for taking height, weight, and upper arm measurements for each of the household members","{1: 'Yes', 2: 'No'}","Household Survey"
"hh_u7","WHY NOT?   - The survey now will ask questions on anthropometric measures. Please assemble the equipment, and follow the instruction manual for taking height, weight, and upper arm measurements for each of the household members","{1: 'Currently Not Home', 2: 'Too Ill', 3: 'Unwilling'}","Household Survey"
"hh_u7_other","WHY NOT?   - The survey now will ask questions on anthropometric measures. Please assemble the equipment, and follow the instruction manual for taking height, weight, and upper arm measurements for each of the household members","{1: 'Currently Not Home', 2: 'Too Ill', 3: 'Unwilling'}","Household Survey"
