Variable,Definition,Values,Protocol
proc_m3_mn,Exchangeable Manganese concentration by Mehlich 3 extraction (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_m3_na,Exchangeable Sodium concentration by Mehlich 3 extraction (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_m3_p,Phosphorus by Mehlich 3 extraction (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_m3_s,Sulphur by Mehlich 3 extraction (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_m3_zn,Zinc by Mehlich 3 extraction (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_al,Aluminium total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_bi,Bismuth total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_br,Bromine total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_cl,Chlorine total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_cu,Copper total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_ga,Gallium total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_k,Potassium total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_la,Lanthanum total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_mg,Magnesium total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_na,Sodium total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_ni,Nickel total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_p,Phosphorus total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_pb,Lead total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_pr,Praseodymium total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_sc,Scandium total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_sm,Samarium total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_sr,Strontium total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_ta,Tantalum total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_th,Thorium total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_v,Vanadium total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_w,Tungsten total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_y,Yttrium total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_zn,Zinc total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
proc_zr,Zirconium total element concentration TXRF (mg kg^-1),,Lab Results From ICRAF Nairobi
