"table_catalog","table_schema","table_name","column_name","ordinal_position","column_default","is_nullable","data_type","character_maximum_length","character_octet_length","numeric_precision","numeric_precision_radix","numeric_scale","datetime_precision","interval_type","interval_precision","character_set_catalog","character_set_schema","character_set_name","collation_catalog","collation_schema","collation_name","domain_catalog","domain_schema","domain_name","udt_catalog","udt_schema","udt_name","scope_catalog","scope_schema","scope_name","maximum_cardinality","dtd_identifier","is_self_referencing","is_identity","identity_generation","identity_start","identity_increment","identity_maximum","identity_minimum","identity_cycle","is_generated","generation_expression","is_updatable"
"vitalsigns","public","household_expenditure","hh_item","4","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","4","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","household_expenditure","itemcode","5","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","5","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","household_expenditure","hh_period","6","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","6","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","household_expenditure","hh_purchased","7","","YES","boolean","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bool","","","","","7","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","household_expenditure","hh_paid","8","","YES","numeric","","","","10","","","","","","","","","","","","","","vitalsigns","pg_catalog","numeric","","","","","8","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","eplotsoils_depth","uuid","1","","NO","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","eplotsoils_depth","parent_uuid","2","","NO","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","eplotsoils_depth","survey_uuid","3","","NO","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","eplotsoils_depth","depth_class","4","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","4","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","eplotsoils_depth","soil_moisture","5","","YES","double precision","","","53","2","","","","","","","","","","","","","","vitalsigns","pg_catalog","float8","","","","","5","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","eplotsoils_depth","soil_tin_fresh_weight","6","","YES","double precision","","","53","2","","","","","","","","","","","","","","vitalsigns","pg_catalog","float8","","","","","6","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","eplotsoils_depth","soil_tin_weight","7","","YES","double precision","","","53","2","","","","","","","","","","","","","","vitalsigns","pg_catalog","float8","","","","","7","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","eplotsoils_depth","soil_weight","8","","YES","double precision","","","53","2","","","","","","","","","","","","","","vitalsigns","pg_catalog","float8","","","","","8","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_extension","uuid","1","","NO","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_extension","parent_uuid","2","","NO","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_extension","survey_uuid","3","","NO","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_extension","source_name","5","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","5","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_extension","source_name_other","6","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","6","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_extension","ag12a_02_1","7","","YES","boolean","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bool","","","","","7","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_extension","ag12a_02_2","8","","YES","boolean","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bool","","","","","8","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_extension","ag12a_02_3","9","","YES","boolean","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bool","","","","","9","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_extension","ag12a_02_4","10","","YES","boolean","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bool","","","","","10","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_extension","ag12a_02_5","11","","YES","boolean","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bool","","","","","11","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_extension","ag12a_02_6","12","","YES","boolean","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bool","","","","","12","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_extension","ag12a_03","13","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","13","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_extension","ag12a_04","14","","YES","boolean","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bool","","","","","14","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_extension","ag12a_05","15","","YES","double precision","","","53","2","","","","","","","","","","","","","","vitalsigns","pg_catalog","float8","","","","","15","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","uuid","1","","NO","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","parent_uuid","2","","NO","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","survey_uuid","3","","NO","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","season","4","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","4","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","crop_name","6","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","6","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","ag5a_01","7","","YES","boolean","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bool","","","","","7","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","ag5a_02_1","8","","YES","double precision","","","53","2","","","","","","","","","","","","","","vitalsigns","pg_catalog","float8","","","","","8","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","ag5a_02_2","9","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","9","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","ag5a_03","10","","YES","double precision","","","53","2","","","","","","","","","","","","","","vitalsigns","pg_catalog","float8","","","","","10","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","ag5a_12_1","11","","YES","date","","","","","","0","","","","","","","","","","","","vitalsigns","pg_catalog","date","","","","","11","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","ag5a_20","12","","YES","boolean","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bool","","","","","12","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","ag5a_21","13","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","13","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","ag5a_21_other","14","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","14","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","ag5a_22","15","","YES","integer","","","32","2","0","","","","","","","","","","","","","vitalsigns","pg_catalog","int4","","","","","15","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","ag5a_24","16","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","16","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","ag5a_24_other","17","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","17","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","ag5a_25","18","","YES","double precision","","","53","2","","","","","","","","","","","","","","vitalsigns","pg_catalog","float8","","","","","18","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_fieldcrop","ag5a_26","19","","YES","double precision","","","53","2","","","","","","","","","","","","","","vitalsigns","pg_catalog","float8","","","","","19","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","uuid","1","","NO","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","survey_uuid","2","","NO","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","country","3","","YES","character varying","3","12","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","region","4","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","4","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","district","5","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","5","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","town","6","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","6","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ward","7","","YES","integer","","","32","2","0","","","","","","","","","","","","","vitalsigns","pg_catalog","int4","","","","","7","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","landscape_no","8","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","8","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag_enumerator_first_name","13","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","13","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag_enumerator_last_name","14","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","14","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag_time_interview_start","16","","YES","time without time zone","","","","","","6","","","","","","","","","","","","vitalsigns","pg_catalog","time","","","","","16","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag_date_of_interview","17","","YES","date","","","","","","0","","","","","","","","","","","","vitalsigns","pg_catalog","date","","","","","17","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag_supervisor_first_name","18","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","18","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag_supervisor_last_name","19","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","19","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag_questionnaire_inspection_date","21","","YES","date","","","","","","0","","","","","","","","","","","","vitalsigns","pg_catalog","date","","","","","21","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag_clerk_first_name","22","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","22","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag_clerk_last_name","23","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","23","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag_data_entry_date","25","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","25","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag_fields","26","","YES","boolean","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bool","","","","","26","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag_year","27","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","27","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag_photo","28","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","28","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag12b_09a","29","","YES","boolean","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bool","","","","","29","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag12a_10","30","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","30","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag12a_10_other","31","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","31","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","hh_refno","32","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","32","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag_survey_instrument","37","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","37","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","ag_end_time","38","","YES","time without time zone","","","","","","6","","","","","","","","","","","","vitalsigns","pg_catalog","time","","","","","38","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric","round","41","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","41","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_field_season_individual","uuid","1","","NO","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_field_season_individual","parent_uuid","2","","NO","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_field_season_individual","survey_uuid","3","","NO","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_field_season_individual","ag3a_70_preparing","5","","YES","integer","","","32","2","0","","","","","","","","","","","","","vitalsigns","pg_catalog","int4","","","","","5","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_field_season_individual","ag3a_70_weeding","6","","YES","integer","","","32","2","0","","","","","","","","","","","","","vitalsigns","pg_catalog","int4","","","","","6","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_field_season_individual","ag3a_70_fertilizing","7","","YES","integer","","","32","2","0","","","","","","","","","","","","","vitalsigns","pg_catalog","int4","","","","","7","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_field_season_individual","ag3a_70_harvesting","8","","YES","integer","","","32","2","0","","","","","","","","","","","","","vitalsigns","pg_catalog","int4","","","","","8","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","agric_field_season_individual","ind_refno","9","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","9","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_household","uuid","1","","NO","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_household","eplot_no","2","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_household","hh_no","3","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_processedsoils_farm","uuid","1","","NO","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_processedsoils_farm","eplot_no","2","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_processedsoils_farm","hh_no","3","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","ref_eplot","id","1","","NO","numeric","","","255","10","0","","","","","","","","","","","","","vitalsigns","pg_catalog","numeric","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","ref_eplot","country","2","","YES","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","ref_eplot","landscape_no","3","","YES","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","ref_eplot","eplot_no","4","","YES","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","4","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","ref_eplot","proposed_long","5","","YES","double precision","","","53","2","","","","","","","","","","","","","","vitalsigns","pg_catalog","float8","","","","","5","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","ref_eplot","proposed_lat","6","","YES","double precision","","","53","2","","","","","","","","","","","","","","vitalsigns","pg_catalog","float8","","","","","6","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","ref_eplot","landcover","8","","YES","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","8","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","ref_eplot","admin_1","9","","YES","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","9","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","ref_eplot","admin_2","10","","YES","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","10","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","ref_eplot","admin_3","11","","YES","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","11","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","ref_eplot","admin_4","12","","YES","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","12","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","ref_eplot","admin_5","13","","YES","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","13","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","ref_eplot","pa_name","14","","YES","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","14","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","ref_eplot","pa_desig","15","","YES","character varying","255","1020","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","varchar","","","","","15","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piiname_household_individual","uuid","1","","NO","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piiname_household_individual","hh_indid","2","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piiname_household_individual","hh_indid_cpt","3","","YES","bytea","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bytea","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_yields","uuid","1","","NO","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_yields","eplot_no","2","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_yields","hh_no","3","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_yields_field","uuid","1","","NO","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_yields_field","field_name","2","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_yields_field","gpsne_lat","3","","YES","numeric","","","","10","","","","","","","","","","","","","","vitalsigns","pg_catalog","numeric","","","","","3","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_yields_field","gpsne_lat_cpt","4","","YES","bytea","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bytea","","","","","4","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_yields_field","gpsne_long","5","","YES","numeric","","","","10","","","","","","","","","","","","","","vitalsigns","pg_catalog","numeric","","","","","5","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piigeo_yields_field","gpsne_long_cpt","6","","YES","bytea","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bytea","","","","","6","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piiname_yields","uuid","1","","NO","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","1","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piiname_yields","yield_head_name","2","","YES","text","","1073741824","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","text","","","","","2","NO","NO","","","","","","","NEVER","","YES"
"vitalsigns","public","piiname_yields","yield_head_name_cpt","3","","YES","bytea","","","","","","","","","","","","","","","","","","vitalsigns","pg_catalog","bytea","","","","","3","NO","NO","","","","","","","NEVER","","YES"
