"Variable","Definition","Values","Protocol","table"
"soil_composite_subsoil_texture","Hand Texture, composite, subsoil","{'clay_loam': 'Clay Loam', 'sandy_clay_loam': 'Sandy Clay Loam', 'clay': 'Clay', 'sandy_loam': 'Sandy Loam', 'sandy_clay': 'Sandy Clay', 'silty_clay_loam': 'Silty Clay Loam', 'loamy_sand': 'Loamy Sand', 'silt_loam': 'Silt Loam', 'sand': 'Sand', 'loam': 'Loam', 'silty_clay': 'Silty Clay'}","E-Plot Soil Sampling and Processing","eplot"
"soil_se_top_texture","Hand Texture, southeast, topsoil","","E-Plot Soil Sampling and Processing","eplot"
"soil_se_subsoil_texture","Hand Texture, southeast, subsoil","","E-Plot Soil Sampling and Processing","eplot"
"soil_ne_top_texture","Hand Texture, northeast, topsoil","","E-Plot Soil Sampling and Processing","eplot"
"soil_ne_sub_texture","Hand Texture, northeast, subsoil","","E-Plot Soil Sampling and Processing","eplot"
"soil_nw_top_texture","Hand Texture, northwest, topsoil","","E-Plot Soil Sampling and Processing","eplot"
"soil_nw_sub_texture","Hand Texture, northwest, subsoil","","E-Plot Soil Sampling and Processing","eplot"
"soil_sw_top_texture","Hand Texture, southwest, topsoil","","E-Plot Soil Sampling and Processing","eplot"
"soil_sw_sub_texture","Hand Texture, southwest, subsoil","","E-Plot Soil Sampling and Processing","eplot"
"soil_se_80_100_restriction_depth","Depth to sampling restriction, southeast corner, 80-100cm","","E-Plot Soil Sampling and Processing","eplot"
"lab_data_entry_date","Date of Weighing dried samples","","E-Plot Soil Sampling and Processing","eplot"
"id","Unique Id for the record",NA,"","eplot_depth"
"parent_id","ID of the parent table (eplot)",NA,"","eplot_depth"
"country","Country",NA,"","eplot_depth"
"landscape_no","Landscape Number",NA,"","eplot_depth"
"eplot_no","Eplot Number",NA,"","eplot_depth"
"round","The round of data collection",NA,"","eplot_depth"
"depth_class","Soil Depth Class",NA,"","eplot_depth"
"latitude","Latitude of the southeast corner of the Eplot",NA,"","eplot_depth"
"longitude","Longitude of the southeast corner of the Eplot",NA,"","eplot_depth"
"soil_sample_date","Soil Sample Date",NA,"","eplot_depth"
"soil_tin_fresh_weight","Weight of soil moisture tin + fresh soil subsample",NA,"E-Plot Soil Sampling and Processing","eplot_depth"
"soil_tin_weight","Weight of soil moisture tin",NA,"E-Plot Soil Sampling and Processing","eplot_depth"
"soil_weight","Total weight of cumulative Mass sample",NA,"E-Plot Soil Sampling and Processing","eplot_depth"
"lab_restriction_depth","Depth of Restriction if any",NA,"E-Plot Soil Sampling and Processing","eplot_depth"
"lab_tin_dry_weight","Weight of Cumulative Soil Moisture Tin + Oven/or Air Dried Soil",NA,"E-Plot Soil Sampling and Processing","eplot_depth"
"lab_total_dry_weight","Total Air Dried Weight of Composite Sample in Bag",NA,"E-Plot Soil Sampling and Processing","eplot_depth"
"lab_fine_dry_weight","Total Weight of Composite Soil Fine Fraction (< 2mm)",NA,"E-Plot Soil Sampling and Processing","eplot_depth"
"lab_coarse_dry_weight","Total Weight of Composite Sample Coarse Fraction (> 2mm)",NA,"E-Plot Soil Sampling and Processing","eplot_depth"
"proc_acidified_carbon","Carbon content of acid treated sample to remove carbonates (% by weight)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_acidified_nitrogen","Nitrogen content of acid treated sample to remove carbonates (% by weight)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_clay_cnls","Clay content by wet sieving method (% by volume)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_clay_icraf","Clay content of calgon dispersed particles after 4 minutes of ultrasonication (% by volume)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_baseum","Sum of Mehlich-3 bases (Ca, Mg, K, Na) (cmolc kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_exacidity","Exchangeable Acidity (cmolc kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_ec","Soil electrical conductivity (soil: water ratio of 1:2 weight to volume basis) (dS m^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_exch_al","Exchangeable aluminium concentration by Mehlich 3 extraction (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_ph","Soil pH in water (soil: water ratio of 1:2 weight to volume basis) (units)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_psi","P sorption index (Bache and Williams 1971)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_sand_cnls","Sand content by wet sieving method (% by volume)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_sand_icraf","Sand content of calgon dispersed particles after 4 minutes of ultrasonication (% by volume)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_silt_cnls","Silt content by wet sieving method (% by volume)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_silt_icraf","Silt content of calgon dispersed particles after 4 minutes of ultrasonication (% by volume)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_total_carbon","Total Carbon content (% by weight)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_total_nitrogen","Total Nitrogen content (% by weight)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_m3_al","Exchangeable aluminium concentration by Mehlich 3 extraction (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_m3_b","Boron concentration by Mehlich 3 extraction (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_m3_ca","Exchangeable calcium concentration by Mehlich 3 extraction (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_m3_cu","Copper concentration by Mehlich 3 extraction (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_m3_fe","Iron concentration by Mehlich 3 extraction (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_m3_k","Potassium concentration by Mehlich 3 extraction (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_m3_mg","Exchangeable Magnesium by wet method (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_m3_mn","Exchangeable Manganese concentration by Mehlich 3 extraction (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_m3_na","Exchangeable Sodium concentration by Mehlich 3 extraction (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_m3_p","Phosphorus by Mehlich 3 extraction (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_m3_s","Sulphur by Mehlich 3 extraction (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_m3_zn","Zinc by Mehlich 3 extraction (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_al","Aluminium total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_bi","Bismuth total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_br","Bromine total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_cl","Chlorine total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_cu","Copper total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_ga","Gallium total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_k","Potassium total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_la","Lanthanum total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_mg","Magnesium total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_na","Sodium total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_ni","Nickel total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_p","Phosphorus total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_pb","Lead total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_pr","Praseodymium total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_sc","Scandium total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_sm","Samarium total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_sr","Strontium total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_ta","Tantalum total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_th","Thorium total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_v","Vanadium total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_w","Tungsten total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_y","Yttrium total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_zn","Zinc total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"proc_zr","Zirconium total element concentration TXRF (mg kg^-1)",NA,"Lab Results From ICRAF Nairobi","eplot_depth"
"id","Unique Id for the record",NA,"","eplot_subplot"
"parent_id","ID of the parent table (eplot)",NA,"","eplot_subplot"
"country","Country",NA,"","eplot_subplot"
"landscape_no","Landscape Number",NA,"","eplot_subplot"
"eplot_no","Eplot Number",NA,"","eplot_subplot"
"round","The round of data collection",NA,"","eplot_subplot"
"subplot","Subplot Number",NA,"","eplot_subplot"
"field_date","Field data collection date",NA,"E-Plot Biomass Measurements","eplot_subplot"
"latitude","Latitude of the southeast corner of the Eplot",NA,"E-Plot Biomass Measurements","eplot_subplot"
"longitude","Longitude of the southeast corner of the Eplot",NA,"E-Plot Biomass Measurements","eplot_subplot"
"mass","Herbaceous Mass Score - Herbaceous layer (Herbaceous mass and Dry-Weight-Rank Method)",NA,"E-Plot Biomass Measurements","eplot_subplot"
"crust","Microfloral Crust",NA,"E-Plot Biomass Measurements","eplot_subplot"
"disturbed","Disturbed Soil",NA,"E-Plot Biomass Measurements","eplot_subplot"
"downed","Downed Wood",NA,"E-Plot Biomass Measurements","eplot_subplot"
"dung","Dung",NA,"E-Plot Biomass Measurements","eplot_subplot"
"herbaceous","Herbaceous Crown Cover Score (0-10)",NA,"E-Plot Biomass Measurements","eplot_subplot"
"herbaceous_erosion","Soil Erosion Score (0-3)",NA,"E-Plot Biomass Measurements","eplot_subplot"
"litter","Litter Cover",NA,"E-Plot Biomass Measurements","eplot_subplot"
"porous","Undisturbed Bare & Porous Soil",NA,"E-Plot Biomass Measurements","eplot_subplot"
"rooted","Rooted Plants",NA,"E-Plot Biomass Measurements","eplot_subplot"
"sealed","Undisturbed but Sealed Soil",NA,"E-Plot Biomass Measurements","eplot_subplot"
"sodic","Sodic Soil",NA,"E-Plot Biomass Measurements","eplot_subplot"
"stone","Stone or Gravel",NA,"E-Plot Biomass Measurements","eplot_subplot"
"termite","Termite Mound",NA,"E-Plot Biomass Measurements","eplot_subplot"
"densiometer_e","Woody Canopy Cover Score - E",NA,"E-Plot Biomass Measurements","eplot_subplot"
"densiometer_n","Woody Canopy Cover Score - N",NA,"E-Plot Biomass Measurements","eplot_subplot"
"densiometer_s","Woody Canopy Cover Score - S",NA,"E-Plot Biomass Measurements","eplot_subplot"
"densiometer_w","Woody Canopy Cover Score - W",NA,"E-Plot Biomass Measurements","eplot_subplot"
"id","Unique Id for the record","","","eplot_subplot_tree"
"parent_id","ID of the parent table (eplot_subplot)","","","eplot_subplot_tree"
"country","Country","","","eplot_subplot_tree"
"landscape_no","Landscape Number","","","eplot_subplot_tree"
"eplot_no","Eplot Number","","","eplot_subplot_tree"
"round","The round of data collection","","","eplot_subplot_tree"
"subplot","Subplot Number","","","eplot_subplot_tree"
"tree_code","Tree Number","","","eplot_subplot_tree"
"field_date","Date","","E-Plot Biomass Measurements","eplot_subplot_tree"
"latitude","Latitude of the southeast corner of the Eplot","","E-Plot Biomass Measurements","eplot_subplot_tree"
"longitude","Longitude of the southeast corner of the Eplot","","E-Plot Biomass Measurements","eplot_subplot_tree"
"genus","Genus","","E-Plot Biomass Measurements","eplot_subplot_tree"
"species","Species","","E-Plot Biomass Measurements","eplot_subplot_tree"
"subspecies","Subspecies","","E-Plot Biomass Measurements","eplot_subplot_tree"
"basal_circ_height","Height at which basal circumference is measured","","E-Plot Biomass Measurements","eplot_subplot_tree"
"stem_class","Tree stem class","{1: 'A single stem', 2: 'Less than 5 stems that are significantly different in size', 3: 'Numerous stems of a similar size'}","E-Plot Biomass Measurements","eplot_subplot_tree"
"numstems","Number of stems ","","E-Plot Biomass Measurements","eplot_subplot_tree"
"canopy_width","Canopy Width (m)","","E-Plot Biomass Measurements","eplot_subplot_tree"
"height","Canopy Height (m)","","E-Plot Biomass Measurements","eplot_subplot_tree"
"circumference","Basal Circumference (cm)","","E-Plot Biomass Measurements","eplot_subplot_tree"
"id","Unique Id for the record",NA,"","eplot_subplot_tree_stem"
"parent_id","ID of the parent table (eplot_subplot_tree)",NA,"","eplot_subplot_tree_stem"
"country","Country",NA,"","eplot_subplot_tree_stem"
"landscape_no","Landscape Number",NA,"","eplot_subplot_tree_stem"
"eplot_no","Eplot Number",NA,"","eplot_subplot_tree_stem"
"round","The round of data collection",NA,"","eplot_subplot_tree_stem"
"subplot","Subplot Number",NA,"","eplot_subplot_tree_stem"
"tree_code","Tree Number",NA,"E-Plot Biomass Measurements","eplot_subplot_tree_stem"
"stem_id","Stem Number",NA,"E-Plot Biomass Measurements","eplot_subplot_tree_stem"
"field_date","Field Data Collection Date",NA,"E-Plot Biomass Measurements","eplot_subplot_tree_stem"
"latitude","Latitude of the southeast corner of the Eplot",NA,"E-Plot Biomass Measurements","eplot_subplot_tree_stem"
"longitude","Longitude of the southeast corner of the Eplot",NA,"E-Plot Biomass Measurements","eplot_subplot_tree_stem"
"genus","Genus",NA,"E-Plot Biomass Measurements","eplot_subplot_tree_stem"
"species","Species",NA,"E-Plot Biomass Measurements","eplot_subplot_tree_stem"
"subspecies","Subspecies",NA,"E-Plot Biomass Measurements","eplot_subplot_tree_stem"
"multistem_height","Canopy Height (m)",NA,"E-Plot Biomass Measurements","eplot_subplot_tree_stem"
"multistem_canopy_width","Canopy Width (m)",NA,"E-Plot Biomass Measurements","eplot_subplot_tree_stem"
"multistem_circumference","Basal Circumference (cm)",NA,"E-Plot Biomass Measurements","eplot_subplot_tree_stem"
"id","Unique Id for the record",NA,"","eplot_subplot_vegetation"
"parent_id","ID of the parent table (eplot_subplot)",NA,"","eplot_subplot_vegetation"
"country","Country",NA,"","eplot_subplot_vegetation"
"landscape_no","Landscape Number",NA,"","eplot_subplot_vegetation"
"eplot_no","Eplot Number",NA,"","eplot_subplot_vegetation"
"round","The round of data collection",NA,"","eplot_subplot_vegetation"
"subplot","Subplot Number",NA,"E-Plot Biomass Measurements","eplot_subplot_vegetation"
"rank","Herbaceous species preponderance rank",NA,"E-Plot Biomass Measurements","eplot_subplot_vegetation"
"field_date","Date of data collection",NA,"E-Plot Biomass Measurements","eplot_subplot_vegetation"
"latitude","Latitude of the southeast corner of the Eplot",NA,"E-Plot Biomass Measurements","eplot_subplot_vegetation"
"longitude","Longitude of the southeast corner of the Eplot",NA,"E-Plot Biomass Measurements","eplot_subplot_vegetation"
"genus","Genus",NA,"E-Plot Biomass Measurements","eplot_subplot_vegetation"
"species","Species",NA,"E-Plot Biomass Measurements","eplot_subplot_vegetation"
"subspecies","Subspecies",NA,"E-Plot Biomass Measurements","eplot_subplot_vegetation"
"id","Unique Id for the record","","","household"
"country","Country","{'TZA': 'Tanzania', 'GHA': 'Ghana', 'KEN': 'Kenya', 'UGA': 'Uganda', 'RWA': 'Rwanda'}","","household"
"region","Region","","","household"
"district","District","","","household"
"ward","Ward/Parish/Sector","","","household"
"town","Town / Village / Community","","","household"
"landscape_no","Landscape Number","","","household"
"hh_refno","Household Number","","","household"
"round","The round of data collection","","","household"
"hh_interview_date","Date of household portion of interview","","Household Survey","household"
"hh_observations","Observations On The Interview: Record General Notes About The Interview And Record Any Special Information That Will Be Helpful For Supervisors And The Analysis Of This Questionnaire.","","Household Survey","household"
"hh_hv105b_01","If you have purchased or sold a bundle of fuelwood in the year, what was the cost per bundle?","","Household Survey","household"
"hh_hv105c_01","What is your primary source of fuelwood for the household or commercial use ?","{1: 'Forest', 2: 'Grassland', 3: 'From The Farm Fields, Boundaries, Fallow Lands Owned/Operated By The Household', 4: 'From The Farm Fields, Boundaries, Fallow Lands Owned By Neighbors', 5: 'From Private Or Community Woodlots', 6: 'From Roadsides', 7: 'Purchase From Neighbors', 8: 'Purchase From Nearby Town/Village', 9: 'Obtained By Exchange For Other Items (But Not Purchased)', 10: 'Received As A Gift', 11: 'Waste From Non-Farm Work (E.G. Carpentry,Builing, Etc.)', '1b': 'Shrubland', '1a': 'Woodland'}","Household Survey","household"
"hh_hv106_01","In which direction is this primary source of fuelwood (only from the primary source in 5d)?","","Household Survey","household"
"hh_hv109_01","How has availability changed over the past 5 years?      ","{1: 'Decreased', 2: 'About The Same', 3: 'Increased'}","Household Survey","household"
"hh_hv109a_01","What percentage of total fuelwood for the household comes from this primary source ?","{1: '0', 2: '1 - 25%', 3: '26 - 50%', 4: '51 - 75%', 5: '76 - 100%'}","Household Survey","household"
"hh_hv109b_01","In the last 12 months, have you been faced with a situation when your household  did not have enough fuelwood for household and/or commercial use?","{1: 'Yes', 2: 'No'}","Household Survey","household"
"hh_hv109c_01","When did you experience this incident ?","{1: 'January', 2: 'February', 3: 'March', 4: 'April', 5: 'May', 6: 'June', 7: 'July', 8: 'August', 9: 'September', 10: 'October', 11: 'November', 12: 'December'}","Household Survey","household"
"hh_hv109c_01_1","If the household experienced the incident in January","","Household Survey","household"
"hh_hv109c_01_10","If the household experienced the incident in October","","Household Survey","household"
"hh_hv109c_01_11","If the household experienced the incident in November","","Household Survey","household"
"hh_hv109c_01_12","If the household experienced the incident in December","","Household Survey","household"
"hh_hv109c_01_2","If the household experienced the incident in February","","Household Survey","household"
"hh_hv109c_01_3","If the household experienced the incident in March","","Household Survey","household"
"hh_hv109c_01_4","If the household experienced the incident in April","","Household Survey","household"
"hh_hv109c_01_5","If the household experienced the incident in May","","Household Survey","household"
"hh_hv109c_01_6","If the household experienced the incident in June","","Household Survey","household"
"hh_hv109c_01_7","If the household experienced the incident in July","","Household Survey","household"
"hh_hv109c_01_8","If the household experienced the incident in August","","Household Survey","household"
"hh_hv109c_01_9","If the household experienced the incident in September","","Household Survey","household"
"hh_i01","In the past 7 days, did you worry that your household would not have enough food?","{1: 'Yes', 2: 'No'}","Household Survey","household"
"hh_i02_1","Rely on less preferred foods? - In the past 7 days, how many days have you or someone in your household had to:","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_i02_2","Limit the variety of foods eaten? - In the past 7 days, how many days have you or someone in your household had to:","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_i02_3","Limit portion size at meal-times? - In the past 7 days, how many days have you or someone in your household had to:","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_i02_4","Reduce number of meals eaten in a day? - In the past 7 days, how many days have you or someone in your household had to:","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_i02_5","Restrict consumption by adults for small children to eat? - In the past 7 days, how many days have you or someone in your household had to:","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_i02_6","Borrow food, or rely on help from a friend or relative? - In the past 7 days, how many days have you or someone in your household had to:","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_i02_7","Have no food of any kind in your house-hold? - In the past 7 days, how many days have you or someone in your household had to:","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_i02_8","Go a whole day and night without eating anything? - In the past 7 days, how many days have you or someone in your household had to:","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_i031","How many meals,  including breakfast are taken per day in your household? (Adults: over 5 Years Old)","","Household Survey","household"
"hh_i032","How many meals,  including breakfast are taken per day in your household? (children 6-59 months)","","Household Survey","household"
"hh_i04_1","What was the 1st item your children less that 5 years of age (0-59 months) had for breakfast yesterday? (other)","{1: 'Tea/Drink With Sugar', 2: 'Milk/Milk Tea With Sugar', 3: 'Solid Food Only', 4: 'Tea/Drink With Solid Food', 5: 'Porridge With Groundnut Flour', 6: 'Porridge With Solid Food', 7: 'Porridge With Sugar', 8: 'Porridge With Milk', 9: 'Porridge Without Sugar', 10: 'Breastmilk', 11: 'Nothing', 101: 'Porridge With Milk And Sugar'}","Household Survey","household"
"hh_i04_1_other","What was the 1st item your children less that 5 years of age (0-59 months) had for breakfast yesterday?","","Household Survey","household"
"hh_i04_2","What was the 2nd item your children less that 5 years of age (0-59 months) had for breakfast yesterday? (other)","{1: 'Tea/Drink With Sugar', 2: 'Milk/Milk Tea With Sugar', 3: 'Solid Food Only', 4: 'Tea/Drink With Solid Food', 5: 'Porridge With Groundnut Flour', 6: 'Porridge With Solid Food', 7: 'Porridge With Sugar', 8: 'Porridge With Milk', 9: 'Porridge Without Sugar', 10: 'Breastmilk', 11: 'Nothing', 101: 'Porridge With Milk And Sugar'}","Household Survey","household"
"hh_i04_2_other","What was the 2nd item your children less that 5 years of age (0-59 months) had for breakfast yesterday?","","Household Survey","household"
"hh_i04_3","What was the 3rd item your children less that 5 years of age (0-59 months) had for breakfast yesterday? (other)","{1: 'Tea/Drink With Sugar', 2: 'Milk/Milk Tea With Sugar', 3: 'Solid Food Only', 4: 'Tea/Drink With Solid Food', 5: 'Porridge With Groundnut Flour', 6: 'Porridge With Solid Food', 7: 'Porridge With Sugar', 8: 'Porridge With Milk', 9: 'Porridge Without Sugar', 10: 'Breastmilk', 11: 'Nothing', 101: 'Porridge With Milk And Sugar'}","Household Survey","household"
"hh_i04_3_other","What was the 3rd item your children less that 5 years of age (0-59 months) had for breakfast yesterday?","","Household Survey","household"
"hh_i05","What was the 1st item your children between 5 to 13 years old had for breakfast yesterday?","{1: 'Tea/Drink With Sugar', 2: 'Milk/Milk Tea With Sugar', 3: 'Solid Food Only', 4: 'Tea/Drink With Solid Food', 5: 'Porridge With Groundnut Flour', 6: 'Porridge With Solid Food', 7: 'Porridge With Sugar', 8: 'Porridge With Milk', 9: 'Porridge Without Sugar', 10: 'Breastmilk', 11: 'Nothing', 101: 'Porridge With Milk And Sugar'}","Household Survey","household"
